configuration_code,model_id,grade,powertrain,transmission,source_colour_name,price_pln,price_state,selected,source_url
spring_essential_electric70_automatic,spring,essential,electric 70,automatic,biel alpejska,0,included_in_base_equipment,true,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html
spring_essential_electric70_automatic,spring,essential,electric 70,automatic,khaki lichen,2300,exact_visible_option_price,false,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html
