version_code,version_name,model_code,model_name,configuration_count,configuration_codes,price_state,price_currency,price_minimum,price_maximum,price_recorded_count,price_missing_count,seat_summary_state,recorded_seat_values,transmission_values,powertrain_labels,reporting_scope_count,single_model_scope_count,mixed_model_scope_count,scope_slugs,provenance_source_count,provenance_relationship_count,provenance_configuration_coverage_count,provenance_missing_configuration_count,provenance_earliest_document_date,provenance_latest_document_date
duster_iii_extreme,Extreme,duster_iii,Duster,9,duster_iii_extreme_ecog100_4x2_manual|duster_iii_extreme_ecog120_4x2_automatic|duster_iii_extreme_ecog120_4x2_manual|duster_iii_extreme_hybrid140_4x2_automatic|duster_iii_extreme_hybrid155_4x2_automatic|duster_iii_extreme_hybridg150_4x4_automatic|duster_iii_extreme_mildhybrid130_4x2_manual|duster_iii_extreme_mildhybrid130_4x4_manual|duster_iii_extreme_mildhybrid140_4x2_manual,recorded,PLN,96000,125900,9,0,not_stated,,automatic|manual,Eco-G 100 4x2|Eco-G 120 4x2|hybrid 140 4x2|hybrid 155 4x2|hybrid-G 150 4x4|mild hybrid 130 4x2|mild hybrid 130 4x4|mild hybrid 140 4x2,9,9,0,duster_ecog100|duster_ecog120|duster_ecog120_automatic|duster_hybrid140|duster_hybrid155|duster_hybridg150_4x4|duster_mildhybrid130_4x2|duster_mildhybrid130_4x4|duster_mildhybrid140_4x2,8,20,9,0,2025-10-20,2026-07-25
duster_iii_journey,Journey,duster_iii,Duster,9,duster_iii_journey_ecog100_4x2_manual|duster_iii_journey_ecog120_4x2_automatic|duster_iii_journey_ecog120_4x2_manual|duster_iii_journey_hybrid140_4x2_automatic|duster_iii_journey_hybrid155_4x2_automatic|duster_iii_journey_hybridg150_4x4_automatic|duster_iii_journey_mildhybrid130_4x2_manual|duster_iii_journey_mildhybrid130_4x4_manual|duster_iii_journey_mildhybrid140_4x2_manual,recorded,PLN,96000,126100,9,0,not_stated,,automatic|manual,Eco-G 100 4x2|Eco-G 120 4x2|hybrid 140 4x2|hybrid 155 4x2|hybrid-G 150 4x4|mild hybrid 130 4x2|mild hybrid 130 4x4|mild hybrid 140 4x2,9,9,0,duster_ecog100|duster_ecog120|duster_ecog120_automatic|duster_hybrid140|duster_hybrid155|duster_hybridg150_4x4|duster_mildhybrid130_4x2|duster_mildhybrid130_4x4|duster_mildhybrid140_4x2,8,20,9,0,2025-10-20,2026-07-25
duster_iii_journey_plus,Journey+,duster_iii,Duster,1,duster_iii_journey_plus_hybrid140_4x2_automatic,recorded,PLN,123600,123600,1,0,not_stated,,automatic,hybrid 140 4x2,1,1,0,duster_hybrid140,1,1,1,0,2026-02-06,2026-02-06
bigster_essential,Essential,bigster,Bigster,2,bigster_essential_mildhybrid140_4x2_manual|bigster_essential_mildhybridg140_4x2_manual,recorded,PLN,101400,101400,2,0,not_stated,,manual,mild hybrid 140 4x2|mild hybrid-G 140 4x2,2,2,0,bigster_mildhybrid140_4x2_manual|bigster_mildhybridg140_4x2_manual,2,4,2,0,2025-12-10,2026-07-03
bigster_expression,Expression,bigster,Bigster,4,bigster_expression_hybrid155_4x2_automatic|bigster_expression_hybridg150_4x4_automatic|bigster_expression_mildhybrid140_4x2_manual|bigster_expression_mildhybridg140_4x2_manual,recorded,PLN,110400,128900,4,0,not_stated,,automatic|manual,hybrid 155 4x2|hybrid-G 150 4x4|mild hybrid 140 4x2|mild hybrid-G 140 4x2,4,4,0,bigster_hybrid155_4x2_automatic|bigster_hybridg150_4x4_automatic|bigster_mildhybrid140_4x2_manual|bigster_mildhybridg140_4x2_manual,2,8,4,0,2025-12-10,2026-07-03
bigster_extreme,Extreme,bigster,Bigster,4,bigster_extreme_hybrid155_4x2_automatic|bigster_extreme_hybridg150_4x4_automatic|bigster_extreme_mildhybrid140_4x2_manual|bigster_extreme_mildhybridg140_4x2_manual,recorded,PLN,118900,137600,4,0,not_stated,,automatic|manual,hybrid 155 4x2|hybrid-G 150 4x4|mild hybrid 140 4x2|mild hybrid-G 140 4x2,4,4,0,bigster_hybrid155_4x2_automatic|bigster_hybridg150_4x4_automatic|bigster_mildhybrid140_4x2_manual|bigster_mildhybridg140_4x2_manual,2,8,4,0,2025-12-10,2026-07-03
bigster_journey,Journey,bigster,Bigster,4,bigster_journey_hybrid155_4x2_automatic|bigster_journey_hybridg150_4x4_automatic|bigster_journey_mildhybrid140_4x2_manual|bigster_journey_mildhybridg140_4x2_manual,recorded,PLN,118500,137200,4,0,not_stated,,automatic|manual,hybrid 155 4x2|hybrid-G 150 4x4|mild hybrid 140 4x2|mild hybrid-G 140 4x2,4,4,0,bigster_hybrid155_4x2_automatic|bigster_hybridg150_4x4_automatic|bigster_mildhybrid140_4x2_manual|bigster_mildhybridg140_4x2_manual,2,8,4,0,2025-12-10,2026-07-03
spring_essential,Essential,spring,Spring,1,spring_essential_electric70_automatic,recorded,PLN,73500,73500,1,0,recorded,4,automatic,electric 70,1,1,0,spring_electric70_automatic,3,3,1,0,2026-02-19,2026-08-02
spring_expression,Expression,spring,Spring,1,spring_expression_electric70_automatic,recorded,PLN,81500,81500,1,0,recorded,4,automatic,electric 70,1,1,0,spring_electric70_automatic,3,3,1,0,2026-02-19,2026-07-31
spring_extreme,Extreme,spring,Spring,1,spring_extreme_electric100_automatic,recorded,PLN,85900,85900,1,0,recorded,4,automatic,electric 100,1,1,0,spring_electric100_automatic,2,2,1,0,2026-02-19,2026-07-31
