category,subcategory,name,part_number,price_pln_vat_without_installation,installation_required
komfort_i_ochrona,pokrowce,"Pokrowce na siedzenia przednie i tylne, wersja 7 miejsc - kanapa 1/3-2/3",873708679R,1289,False
multimedia,audio,Radioodtwarzacz Kenwood KDC-BT730DAB,7711943104,2379,True
multimedia,audio,Radioodtwarzacz Kenwood KMM-BT505DAB,7711943336,1139,True
multimedia,audio,Panel radia,8201734132,409,False
multimedia,telefon,Uchwyt na telefon - montowany na wywietrzniku,7711784774,113,False
multimedia,telefon,Uchwyt na telefon - montowany na desce rozdzielczej,7711784775,111,False
multimedia,telefon,Indukcyjna magnetyczna ładowarka do smartfona mocowana na kratce nawiewu,7711949678,328,False
multimedia,telefon,Indukcyjna ładowarka do smartfonów,8201737398,277,False
multimedia,telefon,Ładowarka indukcyjna do smartfonów w konsoli środkowej,8201739622,549,True
multimedia,wideo,Wideorejestrator Nextbase 322 GW i karta SD 32 GB,7711945184,1419,False
outdoor,inne,Uchwyty mocujące oraz instrukcja obsługi do Pakietu Sleep,749320660R,61,False
outdoor,inne,"Namiot ""InNature""",7717300226,1629,False
outdoor,inne,Markiza dachowa Dacia InNature,8201756977,3119,False
transport,haki_holownicze,Belka haka jednoczęściowego,8201735276,749,True
transport,haki_holownicze,Zestaw montażowy haka jednoczęściowego,8201735277,738,True
transport,haki_holownicze,Belka haka demontowanego bez użycia narzędzi,8201735279,820,True
transport,haki_holownicze,Zestaw montażowy haka demontowanego bez użycia narzędzi,8201735280,1149,True
transport,haki_holownicze,Wiązka haka holowniczego 7-pin,8201742243,1266,True
transport,haki_holownicze,Wiązka haka holowniczego 13-pin,8201742244,589,True
transport,innature,"Wyciemniające rolety Jogger ""InNature""",7717300430,879,False
transport,innature,"Skrzynia Jogger ""InNature""",984239528R,8036,False
transport,innature,"Materac Jogger ""InNature""",984247351R,1618,False
transport,poprzeczki_i_bagazniki,Mocowanie dla tablicy rejestracyjnej - Express Hang On - wiązka 7-biegunowa,7711210431,159,False
transport,poprzeczki_i_bagazniki,Kufer tekstylny 340 l,7711419549,1129,False
transport,poprzeczki_i_bagazniki,Adapter do stalowych poprzeczek dachowych umożliwiający zamocowanie bagażnika na narty,7711420781,103,False
transport,poprzeczki_i_bagazniki,Zabezpieczenie antykradzieżowe bagażnika na rowery Express Hang On,7711422443,66,False
transport,poprzeczki_i_bagazniki,Kufer dachowy Dacia 330 l,7711574056,1712,False
transport,poprzeczki_i_bagazniki,Kufer dachowy Dacia 390 l,7711574057,2100,False
transport,poprzeczki_i_bagazniki,Bagażnik rowerowy Europower 916 - montaż na haku - 2 rowery elektryczne (wiązka 7-stykowa),7711574689,2709,False
transport,poprzeczki_i_bagazniki,Bagażnik rowerowy Express Hang-On - montaż na haku - 2 rowery,7711577326,299,False
transport,poprzeczki_i_bagazniki,Bagażnik rowerowy Express Hang-On - 3 rowery,7711577327,529,False
transport,poprzeczki_i_bagazniki,Bagażnik na rowery Europower 915 - montowany na haku - 2 rowery elektryczne,7711577333,3410,False
transport,poprzeczki_i_bagazniki,Uchwyt na narty - 4 pary nart lub 2 deski snowboardowe,7711940000,729,False
transport,poprzeczki_i_bagazniki,Uchwyt na narty - 6 par nart lub 4 deski snowboardowe,7711940001,1230,False
transport,poprzeczki_i_bagazniki,Bagażnik rowerowy Peruzzo na 2 rowery mocowany na haku holowniczym (gniazdo 13-stykowe),7711949994,1979,False
transport,poprzeczki_i_bagazniki,Bagażnik na 4 pary nart,7717301298,799,False
transport,poprzeczki_i_bagazniki,Poprzeczki dachowe montowane na relingach,8201733998,940,False
