category,subcategory,name,part_number,price_pln_vat_without_installation,installation_required
komfort_i_ochrona,Wyposażenie wnętrza,Wkładka ochronna na podłogę bagażnika - do wersji bez podwójnej podłogi,849P70394R,236,false
komfort_i_ochrona,Wyposażenie wnętrza,Wkładka ochronna na podłogę bagażnika - do wersji z podwójną podłogą,849P74223R,232,false
multimedia,Telefon,Uchwyt na telefon - montowany na desce rozdzielczej,7711784775,111,false
multimedia,Telefon,Indukcyjna magnetyczna ładowarka do smartfona mocowana na kratce nawiewu,7711949678,328,false
multimedia,Wideo,Wideorejestrator Nextbase 322 GW i karta SD 32 GB,7711945184,1419,false
outdoor,Inne,Komplet uchwytów do mocowania Pakietu Sleep,572015754R,75,false
outdoor,Inne,Namiot InNature,7717300226,1629,false
outdoor,Inne,Markiza dachowa Dacia InNature,8201756977,3119,false
outdoor,Inne,Zasłony do Pakietu Sleep,975804583R,1078,false
outdoor,Inne,Skrzynia do Pakietu Sleep - do wersji TCe 140 i Eco-G 140,984232417R,5695,false
outdoor,Inne,Skrzynia do Pakietu Sleep - do wersji 4x4 i HEV,984239640R,5695,false
outdoor,Inne,Materac do Pakietu Sleep,984240549R,1045,false
transport,Haki holownicze,Wiązka przewodów do haka holowniczego z gniazdem 13-stykowym,241D87019R,1266,false
transport,Haki holownicze,Jednoczęściowy hak holowniczy - belka poprzeczna,511D25563R,749,false
transport,Haki holownicze,Jednoczęściowy hak holowniczy - komplet śrub,511D25661R,539,false
transport,Haki holownicze,Hak holowniczy demontowany bez użycia narzędzi - belka poprzeczna,511D25666R,609,false
transport,Haki holownicze,Hak holowniczy demontowany bez użycia narzędzi - zestaw śrub,511D27676R,1949,false
transport,Haki holownicze,Adapter 13/7-stykowy,7711949772,191,false
transport,Poprzeczki i bagażniki,Kufer dachowy Dacia 330 l,7711574056,1712,false
transport,Poprzeczki i bagażniki,Kufer dachowy Dacia 390 l,7711574057,2100,false
transport,Poprzeczki i bagażniki,Adapter do bagażnika na narty montowanego na poprzeczkach dachowych,7711949529,134,false
transport,Poprzeczki i bagażniki,Bagażnik rowerowy Peruzzo - montowany na poprzeczki dachowe,7711949992,589,false
transport,Poprzeczki i bagażniki,Adapter do bagażnika rowerowego montowanego na relingach dachowych,7711949993,126,false
transport,Poprzeczki i bagażniki,Bagażnik rowerowy Peruzzo na 2 rowery mocowany na haku holowniczym (gniazdo 13-stykowe),7711949994,1979,false
transport,Poprzeczki i bagażniki,Bagażnik rowerowy Peruzzo na 3 rowery mocowany na haku holowniczym (gniazdo 13-stykowe),7711949995,2639,false
transport,Poprzeczki i bagażniki,Aero cargo box Dacia,7717275154,2549,false
transport,Poprzeczki i bagażniki,Bagażnik dachowy,7717277154,2999,false
transport,Poprzeczki i bagażniki,Bagażnik rowerowy Hang-on mocowany na haku holowniczym - 2 rowery,7717301286,521,false
transport,Poprzeczki i bagażniki,Bagażnik rowerowy Hang-on mocowany na haku holowniczym - 3 rowery,7717301287,543,false
transport,Poprzeczki i bagażniki,Bagażnik rowerowy Hang-on na 4 rowery mocowany na haku holowniczym,7717301288,575,false
transport,Poprzeczki i bagażniki,Bagażnik na 4 pary nart,7717301298,799,false
transport,Poprzeczki i bagażniki,Bagażnik na 6 par nart,7717301299,993,false
transport,Poprzeczki i bagażniki,Poprzeczki dachowe QuickFix montowane na stałych relingach,8201749196,1159,false
