source_code,source_type,title,publisher,market,document_date,external_reference,file_path,sha256,status,relationship_count,relationship_types,configuration_count,configuration_codes,version_count,version_codes,model_family_count,model_codes,model_names,notes
src_ro_duster_ecog120_automatic_homologation_20260725,web_snapshot,Dacia Romania exact Duster Eco-G 120 automatic homologation cards,Dacia,RO,2026-07-25,https://vanzari.dacia.ro/,project/sources/dacia-ro-duster-ecog120-automatic-homologation-20260725.json,045bf18bc8ed2dee6ee86692e8fb7cf9a3005e6cf389c3b743376f7abe96d75d,active,3,automatic_homologation_data_for,3,duster_iii_expression_ecog120_4x2_automatic|duster_iii_extreme_ecog120_4x2_automatic|duster_iii_journey_ecog120_4x2_automatic,3,duster_iii_expression|duster_iii_extreme|duster_iii_journey,1,duster_iii,Duster,"Exact 2026 Expression, Extreme and Journey ECO-G 120 auto 2WD stock pages; automatic-specific power, torque, performance, mass, towing and consumption evidence. Cargo volume remains an explicit non-import."
src_pl_bigster_brochure_20251210,brochure_pdf,DACIA BIGSTER broszura,Dacia,PL,2025-12-10,https://cdn.group.renault.com/dac/pl/pdf/broszury/bigster-brochure.pdf.asset.pdf/5f71268df9.pdf,PDF/Broszury/DACIA BIGSTER broszura 20251210.pdf,76795d4ea524172a324fd44b6a630ffbb14be9d151df8c95de79a8dd4e6aed74,active,14,brochure_technical_data_for,14,bigster_essential_mildhybrid140_4x2_manual|bigster_essential_mildhybridg140_4x2_manual|bigster_expression_hybrid155_4x2_automatic|bigster_expression_hybridg150_4x4_automatic|bigster_expression_mildhybrid140_4x2_manual|bigster_expression_mildhybridg140_4x2_manual|bigster_extreme_hybrid155_4x2_automatic|bigster_extreme_hybridg150_4x4_automatic|bigster_extreme_mildhybrid140_4x2_manual|bigster_extreme_mildhybridg140_4x2_manual|bigster_journey_hybrid155_4x2_automatic|bigster_journey_hybridg150_4x4_automatic|bigster_journey_mildhybrid140_4x2_manual|bigster_journey_mildhybridg140_4x2_manual,4,bigster_essential|bigster_expression|bigster_extreme|bigster_journey,1,bigster,Bigster,Official Polish Bigster brochure published 2025-12-10. Source registration only; technical observations require separate context-preserving imports.
src_pl_jogger_brochure_20251217,brochure_pdf,DACIA JOGGER broszura,Dacia,PL,2025-12-17,https://cdn.group.renault.com/dac/pl/pdf/broszury/jogger-brochure.pdf.asset.pdf/6b1235f90d.pdf,PDF/Broszury/DACIA JOGGER broszura 20251217.pdf,eb4d44436c314d7e38d018af68e7475f03122a27f1e3f30e768f60432d338dd6,active,22,brochure_technical_data_for,22,jogger_essential_5seat_ecog120_manual|jogger_essential_7seat_ecog120_manual|jogger_expression_5seat_ecog120_manual|jogger_expression_5seat_hybrid155_automatic|jogger_expression_5seat_tce110_manual|jogger_expression_7seat_ecog120_manual|jogger_expression_7seat_hybrid155_automatic|jogger_expression_7seat_tce110_manual|jogger_extreme_5seat_ecog120_automatic|jogger_extreme_5seat_ecog120_manual|jogger_extreme_5seat_hybrid155_automatic|jogger_extreme_5seat_tce110_manual|jogger_extreme_7seat_ecog120_automatic|jogger_extreme_7seat_ecog120_manual|jogger_extreme_7seat_hybrid155_automatic|jogger_extreme_7seat_tce110_manual|jogger_journey_5seat_ecog120_automatic|jogger_journey_5seat_hybrid155_automatic|jogger_journey_5seat_tce110_manual|jogger_journey_7seat_ecog120_automatic|jogger_journey_7seat_hybrid155_automatic|jogger_journey_7seat_tce110_manual,4,jogger_essential|jogger_expression|jogger_extreme|jogger_journey,1,jogger,Jogger,"Official Polish Jogger brochure published 2025-12-17. Source registration only; seat-layout, seat-state and measurement-basis context must be preserved."
src_pl_sandero_brochure_20260202,brochure_pdf,DACIA SANDERO broszura,Dacia,PL,2026-02-02,https://cdn.group.renault.com/dac/pl/pdf/broszury/sandero-brochure.pdf.asset.pdf/b83cd5df5f.pdf,PDF/Broszury/DACIA SANDERO broszura 20260202.pdf,adee5017a405a22dffaca0555b47b84b718f2166534652c9863ba2f97f325f97,active,7,brochure_technical_data_for,7,sandero_iii_essential_tce100_manual|sandero_iii_expression_ecog120_automatic|sandero_iii_expression_ecog120_manual|sandero_iii_expression_tce100_manual|sandero_iii_journey_ecog120_automatic|sandero_iii_journey_ecog120_manual|sandero_iii_journey_tce100_manual,3,sandero_iii_essential|sandero_iii_expression|sandero_iii_journey,1,sandero_iii,Sandero,Official Polish Sandero brochure published 2026-02-02. Source registration only; gear-specific elasticity and cargo measurement contexts remain deferred.
src_pl_sandero_stepway_brochure_20260202,brochure_pdf,DACIA SANDERO STEPWAY broszura,Dacia,PL,2026-02-02,https://cdn.group.renault.com/dac/pl/pdf/broszury/sandero-stepway-brochure.pdf.asset.pdf/e154a3e830.pdf,PDF/Broszury/DACIA SANDERO STEPWAY broszura 20260202.pdf,800e6e6df78e55e9fd3ac270dd5df26447c82830c92ced112ee83c3b44595d48,active,5,brochure_technical_data_for,5,sandero_stepway_iii_essential_ecog120_manual|sandero_stepway_iii_expression_ecog120_automatic|sandero_stepway_iii_expression_ecog120_manual|sandero_stepway_iii_extreme_ecog120_automatic|sandero_stepway_iii_extreme_ecog120_manual,3,sandero_stepway_iii_essential|sandero_stepway_iii_expression|sandero_stepway_iii_extreme,1,sandero_stepway_iii,Sandero Stepway,Official Polish Sandero Stepway brochure published 2026-02-02. Source registration only; gear-specific elasticity and multi-basis cargo values remain deferred.
src_pl_duster_mini_brochure_20251020,brochure_pdf,DACIA DUSTER mini broszura,Dacia,PL,2025-10-20,https://cdn.group.renault.com/dac/pl/pdf/mini-broszury/new-duster-mini-brochure_2024.pdf.asset.pdf/b2659c32d0.pdf,PDF/Broszury/DACIA DUSTER mini broszura 20251020.pdf,84040b64bd67391cce4a99ada3021b0ad1a493f9430a666783e4632dd6ce85e8,active,10,brochure_technical_data_for,10,duster_iii_essential_ecog120_4x2_manual|duster_iii_expression_ecog120_4x2_manual|duster_iii_expression_hybrid155_4x2_automatic|duster_iii_expression_mildhybrid140_4x2_manual|duster_iii_extreme_ecog120_4x2_manual|duster_iii_extreme_hybrid155_4x2_automatic|duster_iii_extreme_mildhybrid140_4x2_manual|duster_iii_journey_ecog120_4x2_manual|duster_iii_journey_hybrid155_4x2_automatic|duster_iii_journey_mildhybrid140_4x2_manual,4,duster_iii_essential|duster_iii_expression|duster_iii_extreme|duster_iii_journey,1,duster_iii,Duster,Official Polish Duster mini brochure published 2025-10-20. Its Eco-G 120 technical table describes the manual powertrain and must not populate automatic configurations.
src_pl_sandero_stepway_catalog_tce_slice_20260703,normalized_snapshot,Sandero and Stepway MY26 TCe catalogue slice,Dacia,PL,2026-07-03,https://cdn.group.renault.com/dac/pl/pdf/cenniki/sandero-stepway-price.pdf.asset.pdf/bd9f9519ce.pdf,project/sources/sandero_stepway_catalog_tce_slice_20260703.json,1e79dd91ceced2565297377b7e158c473a78b4cafc3a8c64e44bc8d899a73725,active,15,documents,15,sandero_iii_essential_tce100_manual|sandero_iii_expression_ecog120_automatic|sandero_iii_expression_ecog120_manual|sandero_iii_expression_tce100_manual|sandero_iii_journey_ecog120_automatic|sandero_iii_journey_ecog120_manual|sandero_iii_journey_tce100_manual|sandero_stepway_iii_essential_ecog120_manual|sandero_stepway_iii_essential_tce110_manual|sandero_stepway_iii_expression_ecog120_automatic|sandero_stepway_iii_expression_ecog120_manual|sandero_stepway_iii_expression_tce110_manual|sandero_stepway_iii_extreme_ecog120_automatic|sandero_stepway_iii_extreme_ecog120_manual|sandero_stepway_iii_extreme_tce110_manual,6,sandero_iii_essential|sandero_iii_expression|sandero_iii_journey|sandero_stepway_iii_essential|sandero_stepway_iii_expression|sandero_stepway_iii_extreme,2,sandero_iii|sandero_stepway_iii,Sandero|Sandero Stepway,Versioned source slice of src_pl_sandero_stepway_price_my26_20260703; the raw official file remains canonical and hash-verified.
src_pl_sandero_catalog_tce_slice_20260202,normalized_snapshot,Sandero TCe 100 brochure technical slice,Dacia,PL,2026-02-02,https://cdn.group.renault.com/dac/pl/pdf/broszury/sandero-brochure.pdf.asset.pdf/b83cd5df5f.pdf,project/sources/sandero_catalog_tce_slice_20260202.json,bc119246089e68bce49e4f8e7ad45b148ef54e378e1e690f3ce6fd10088f3387,active,3,brochure_technical_data_for,3,sandero_iii_essential_tce100_manual|sandero_iii_expression_tce100_manual|sandero_iii_journey_tce100_manual,3,sandero_iii_essential|sandero_iii_expression|sandero_iii_journey,1,sandero_iii,Sandero,Versioned source slice of src_pl_sandero_brochure_20260202; the raw official file remains canonical and hash-verified.
src_pl_sandero_stepway_catalog_tce_slice_20260202,normalized_snapshot,Sandero Stepway TCe 110 brochure technical slice,Dacia,PL,2026-02-02,https://cdn.group.renault.com/dac/pl/pdf/broszury/sandero-stepway-brochure.pdf.asset.pdf/e154a3e830.pdf,project/sources/sandero_stepway_catalog_tce_slice_20260202.json,9fc871a19d352aeb628845192fc7f1fb56cc2769ee87249e3de8ef79852aa6ab,active,3,brochure_technical_data_for,3,sandero_stepway_iii_essential_tce110_manual|sandero_stepway_iii_expression_tce110_manual|sandero_stepway_iii_extreme_tce110_manual,3,sandero_stepway_iii_essential|sandero_stepway_iii_expression|sandero_stepway_iii_extreme,1,sandero_stepway_iii,Sandero Stepway,Versioned source slice of src_pl_sandero_stepway_brochure_20260202; the raw official file remains canonical and hash-verified.
src_pl_spring_brochure_20260219,brochure_pdf,DACIA SPRING broszura,Dacia,PL,2026-02-19,https://cdn.group.renault.com/dac/pl/pdf/broszury/new-spring-brochure.pdf.asset.pdf/acdd19cd55.pdf,PDF/Broszury/DACIA SPRING broszura 20260219.pdf,73a4c568ce273bc095f6ecf1cfa4f5f2a92324bb2f0bbc171ba45bb4a4cf3c8d,active,3,documents,3,spring_essential_electric70_automatic|spring_expression_electric70_automatic|spring_extreme_electric100_automatic,3,spring_essential|spring_expression|spring_extreme,1,spring,Spring,"Official Polish Spring model-range brochure published 2026-02-19. Source registration only; grade, cargo, powertrain and technical footnote applicability must be preserved before any observation import."
src_pl_spring_price_my25_stock_20260708,configuration_pdf,DACIA SPRING cennik MY25 stock,Dacia,PL,2026-07-08,https://cdn.group.renault.com/dac/pl/pdf/cenniki/spring-price-2025.pdf.asset.pdf/11eef439c3.pdf,PDF/Cenniki/DACIA SPRING cennik MY25 stock 20260708.pdf,809d24ec3710aac02b3f3a2f33e1872689430a1d6887f387936a5ac3ff343ae0,active,1,documents,1,spring_expression_electric70_automatic,1,spring_expression,1,spring,Spring,Official Polish Spring model-year-2025 stock price list effective 2026-07-08. Catalogue and promotional prices are bounded to dealer inventory; registration does not import observations or generalize states to MY26.
src_pl_spring_official_configurator_20260731,web_snapshot,Dacia Polska Spring official configurator and version observations,Dacia,PL,2026-07-31,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html,project/sources/dacia-pl-spring-configurator-20260731.json,9b90aa2a2f81f1bc81509f04d3705887e8bd74af595f69a3e830c85c35b0601b,active,3,documents,3,spring_essential_electric70_automatic|spring_expression_electric70_automatic|spring_extreme_electric100_automatic,3,spring_essential|spring_expression|spring_extreme,1,spring,Spring,Dated exact Spring grade and powertrain observations. Essential 70 and Extreme 100 prices are accepted from exact states; the repeated Expression price remains unresolved and no observations are imported in the registration package.
src_pl_spring_commercial_context_20260802,normalized_snapshot,Dacia Polska Spring commercial context review,Dacia,PL,2026-08-02,https://www.dacia.pl/hybrydy-i-elektryczne/spring-miejski/konfigurator.html,project/sources/dacia-pl-spring-commercial-context-20260802.json,2ce609341d6e80bd16c670000e8571a4e114adbdcfea270164de8a6a2b60ed8f,active,1,documents,1,spring_essential_electric70_automatic,1,spring_essential,1,spring,Spring,"Bounded normalized review of exact-current Spring commercial context. Only the Essential Lichen Khaki 2300 PLN option price is imported; Type 2, standard-paint, Expression, Extreme-palette and home-cable semantic cases remain excluded."
