ordinal,category,subcategory,price_list_name,part_number,document_price_gross_pln,shop_name,shop_catalog_price_gross_pln,first_pass_status,price_match,label_exact_match,shop_compatibility_includes_new_spring,availability_status,retry_deferred,evidence_stage,checked_on
28,KOMFORT I OCHRONA,Akcesoria do ładowania,"Przewód ładowania akumulatora Typ 2, 6,5 m, ze wzmocnionego gniazda domowego prądu jednofazowego 16A Typ E/F, o mocy 3,7 kW",7717278287,1549.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
29,KOMFORT I OCHRONA,Akcesoria do ładowania,"Rękawice do ładowanie akumulatora, rozmiar S/M",7717301120,83.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
30,KOMFORT I OCHRONA,Akcesoria do ładowania,"Rękawice do ładowanie akumulatora, rozmiar L/XL",7717301121,97.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
31,KOMFORT I OCHRONA,Akcesoria do ładowania,Domowe gniazdo ładowania Green’Up Typ E,8201486883,1509.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
32,KOMFORT I OCHRONA,Akcesoria do ładowania,Domowe gniazdo ładowania Green’Up Typ F,8201486884,1548.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
33,KOMFORT I OCHRONA,Akcesoria do ładowania,Uchwyt do przenoszenia kabla,8201738553,303.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
34,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Comfort,8201751532,168.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
35,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Premium,8201751534,291.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
36,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Comfort,8201752597,187.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
37,KOMFORT I OCHRONA,Dywaniki,Dywaniki tekstylne Premium,8201752599,264.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
38,KOMFORT I OCHRONA,Dywaniki,Dywaniki gumowe,8201756618,250.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
39,KOMFORT I OCHRONA,Dywaniki,Dywaniki gumowe (tylny rząd),8201756621,170.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
40,KOMFORT I OCHRONA,Ochrona karoserii,Pokrowiec na samochód (rozmiar XS),7711949659,378.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
41,KOMFORT I OCHRONA,Ochrona karoserii,Przednie lub tylne chlapacze,7717301274,111.00,Przednie lub tylne chlapacze,111.00,confirmed_price_exact_match,true,true,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
42,KOMFORT I OCHRONA,Wyposażenie bagażnika,Organizer do bagażnika,7711940885,318.00,Organizer do bagażnika,318.00,confirmed_price_exact_match,true,true,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
43,KOMFORT I OCHRONA,Wyposażenie bagażnika,Wykładzina bagażnika Spring,8201741933,187.00,Wykładzina bagażnika Dacia Spring,,confirmed_card_price_not_captured,,false,true,listed,false,shop_coverage_baseline,2026-08-06
44,KOMFORT I OCHRONA,Wyposażenie bagażnika,Dwustronna mata bagażnika do bagażnika Spring(2),8201742284,311.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
45,KOMFORT I OCHRONA,Wyposażenie wnętrza,Wkładka do uchwytu na kubek,7711945469,125.00,Wielofunkcyjny uchwyt na kubek Dacia,125.00,confirmed_price_exact_match,true,false,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
46,KOMFORT I OCHRONA,Wyposażenie wnętrza,Pokrowiec na tylne siedzenia do przewozu psów,7711945735,419.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
47,KOMFORT I OCHRONA,Wyposażenie wnętrza,Lodówka przenośna,7717277903,415.00,Lodówka samochodowa,,confirmed_card_price_not_captured,,false,true,listed_add_to_cart,false,reconciliation_003,2026-08-06
48,KOMFORT I OCHRONA,Wyposażenie wnętrza,Zestaw dla palących (popielniczka + zapalniczka),8201375535,225.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
49,KOMFORT I OCHRONA,Wyposażenie wnętrza,Organizer konsoli centralnej,8201751965,291.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
50,KOMFORT I OCHRONA,Wyposażenie wnętrza,Schowek pod maską silnika,8201751968,969.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
51,MULTIMEDIA,Telefon,Uchwyt na telefon - montowany na desce rozdzielczej,7711784775,111.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
52,MULTIMEDIA,Telefon,Indukcyjna magnetyczna ładowarka do smartfona mocowana na kratce nawiewu,7711949678,328.00,Indukcyjna magnetyczna ładowarka do smartfona mocowana na kratce nawiewu,,confirmed_card_price_not_captured,,true,true,listed_add_to_cart,false,reconciliation_004,2026-08-06
53,MULTIMEDIA,Telefon,Indukcyjna ładowarka do smartfonów,8201737398,277.00,Indukcyjna ładowarka do smartfonów Dacia,,confirmed_card_price_not_captured,,false,true,listed_add_to_cart,false,reconciliation_004,2026-08-06
54,MULTIMEDIA,Wideo,Wideorejestrator Nextbase 322 GW i karta SD 32 GB,7711945184,1419.00,Dashcam - Nextbase 322 GW i karta SD 32 GB,,confirmed_card_price_not_captured,,false,true,listed_add_to_cart,false,reconciliation_004,2026-08-06
55,TRANSPORT,Poprzeczki i bagażniki,Relingi dachowe,738200989R,441.00,Relingi dachowe,441.00,confirmed_price_exact_match,true,true,true,temporarily_unavailable,false,shop_coverage_baseline,2026-08-06
56,TRANSPORT,Poprzeczki i bagażniki,Bagażnik za podwójną podłogą do przechowywania kabli,7717300012,1169.00,,,dacia_pl_card_not_resolved,,,false,unresolved,true,reconciliation_bounded_attempt,2026-08-06
