code,commercial_item_code,configuration_code,availability_status,amount,currency_code,source_page,notes
spring_type2_charging_cable_option__spring_essential_electric70_automatic,spring_type2_charging_cable_option,spring_essential_electric70_automatic,optional,,PLN,13,"Direct Essential option; brochure states no amount."
spring_type2_charging_cable_option__spring_expression_electric70_automatic,spring_type2_charging_cable_option,spring_expression_electric70_automatic,optional,,PLN,14,"Direct Expression option; brochure states no amount."
spring_type2_charging_cable_option__spring_extreme_electric100_automatic,spring_type2_charging_cable_option,spring_extreme_electric100_automatic,optional,,PLN,15,"Direct Extreme option; brochure states no amount."
spring_techno_package__spring_expression_electric70_automatic,spring_techno_package,spring_expression_electric70_automatic,optional,,PLN,14,"Direct Expression package; brochure states no amount."
spring_dc40_charging_option__spring_expression_electric70_automatic,spring_dc40_charging_option,spring_expression_electric70_automatic,optional,,PLN,14,"Direct Expression standalone option; brochure states no amount."
spring_power_package__spring_extreme_electric100_automatic,spring_power_package,spring_extreme_electric100_automatic,optional,,PLN,15,"Direct Extreme package; brochure states no amount."
spring_city_package__spring_extreme_electric100_automatic,spring_city_package,spring_extreme_electric100_automatic,optional,,PLN,15,"Direct Extreme package; brochure states no amount."
